trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.46272348692567206, 'e': 0.2729408974751874}",25,7,1.4052885498683616,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.4618913338116898, 'e': 0.27049545041642054}",25,4,30.035680046205567,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.46092237976852113, 'e': 0.26767010719674456}",20,0,0.6216489548778763,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
155,False,"{'a': 0.4600014562394876, 'e': 0.2650067451297589}",20,6,21.35759765980527,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.4593579047918791, 'e': 0.2631581754560287}",30,8,-16.320471860880893,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 0}",1
157,False,"{'a': 0.45834842823270755, 'e': 0.2602792983785571}",20,12,-26.022832205546987,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.45798189612251383, 'e': 0.2592402606458915}",20,0,-59.45759466759856,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",1
159,False,"{'a': 0.45706684768372374, 'e': 0.2566607769535559}",20,0,-29.95027112677767,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
160,False,"{'a': 0.45615362751293376, 'e': 0.25410695955280027}",20,2,25.765018248097938,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.4553332895091052, 'e': 0.25183025744403303}",20,7,11.209960298832836,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.45474174082269925, 'e': 0.2501986691770608}",20,13,13.263685051537536,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.4544235329898584, 'e': 0.2493245045154751}",20,4,6.846945712025352,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.45369703668910105, 'e': 0.24733786563028812}",20,15,7.6603028424143815,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.45347024487343524, 'e': 0.24672029325333586}",20,13,13.523205539690926,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.453152926776315, 'e': 0.2458582816272648}",25,0,-7.085028913718188,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
167,False,"{'a': 0.4520214593829218, 'e': 0.24280418100265946}",25,8,30.459585548801442,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.4512536757030067, 'e': 0.24074909196587688}",25,16,-6.871896118776215,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
169,False,"{'a': 0.45084773009779766, 'e': 0.23966815498431943}",20,11,-0.8838217903901477,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.45044214967927465, 'e': 0.2385920712910904}",25,13,12.439586393537978,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.44990194328831884, 'e': 0.23716480494418105}",20,0,-35.95427006438475,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
